only_date,daily_vol
2020-01-09,0.003564098377214005
2020-01-10,0.002364131248980855
2020-01-13,0.00580151248620885
2020-01-14,0.0052190197342296485
2020-01-15,0.002903438887727931
2020-01-16,0.004439319401088849
2020-01-17,0.001858333574075319
2020-01-21,0.006397927609707446
2020-01-22,0.006111528377667316
2020-01-23,0.004196841394548785
2020-01-24,0.0028015085154484225
2020-01-27,0.004129728434092763
2020-01-28,0.0040010302080525145
2020-01-29,0.0024684380278294157
2020-01-30,0.010374016212593372
2020-01-31,0.0026100281926952095
2020-02-03,0.00983930208796347
2020-02-04,0.016441896637263285
2020-02-05,0.013758483101251965
2020-02-06,0.010761249830631009
2020-02-07,0.0038968112604636992
2020-02-10,0.010141596521770354
2020-02-11,0.002655256395333563
2020-02-12,0.002747600527707995
2020-02-13,0.006196459824782987
2020-02-14,0.0024833481541483
2020-02-18,0.007540464315940473
2020-02-19,0.00873090744574668
2020-02-20,0.005602846668806758
2020-02-21,0.0031361053201862145
2020-02-24,0.008322179083459164
2020-02-25,0.0050906078248942836
2020-02-26,0.004821890653728277
2020-02-27,0.012378603065443755
2020-02-28,0.011849528599468582
2020-03-02,0.008222217344098
2020-03-03,0.010578817614009375
2020-03-04,0.005277713933227193
2020-03-05,0.0050645723587560065
2020-03-06,0.005553899306718683
2020-03-09,0.015954012090795725
2020-03-10,0.009988934789485896
2020-03-11,0.0043791205912430235
2020-03-12,0.015350572916168911
2020-03-13,0.011163152927300187
2020-03-16,0.020041042402104966
2020-03-17,0.012702000659229417
2020-03-18,0.014731344889191724
2020-03-19,0.014893532047118943
2020-03-20,0.01147809324667034
2020-03-23,0.00943652713937944
2020-03-24,0.013454022565784611
2020-03-25,0.011735541458641106
2020-03-26,0.0061543927226047485
2020-03-27,0.006455382633783948
2020-03-30,0.0046498544293283595
2020-03-31,0.005351044901999698
2020-04-01,0.004229878497888904
2020-04-02,0.00575808519967776
2020-04-03,0.014295377115429157
2020-04-06,0.006945172298378131
2020-04-07,0.007638301202194171
2020-04-08,0.003931179837622126
2020-04-09,0.004300995683767369
2020-04-13,0.005528667387783281
2020-04-14,0.012557357433778945
2020-04-15,0.007115905241860842
2020-04-16,0.005335834049136638
2020-04-17,0.004402000531336785
2020-04-20,0.005135621387567306
2020-04-21,0.006355267890594017
2020-04-22,0.004942448147979994
2020-04-23,0.0034103907189826097
2020-04-24,0.0029997600103578736
2020-04-27,0.005825907306659942
2020-04-28,0.003553237340882474
2020-04-29,0.0052167918414291695
2020-04-30,0.011656538863315084
2020-05-01,0.008565103654961537
2020-05-04,0.004197612407480953
2020-05-05,0.006285706129226914
2020-05-06,0.0030019042825897477
2020-05-07,0.0028739004973552438
2020-05-08,0.0037146693861578504
2020-05-11,0.004694732186917839
2020-05-12,0.004078166056590911
2020-05-13,0.005225119785757171
2020-05-14,0.004537504493740122
2020-05-15,0.0033091387928086105
2020-05-18,0.0043196632380920995
2020-05-19,0.0018392237260558616
2020-05-20,0.002048204220300412
2020-05-21,0.0024189651553923326
2020-05-22,0.0023561390058417864
2020-05-26,0.0023930424709670797
2020-05-27,0.003267955000617121
2020-05-28,0.0024935896126275854
2020-05-29,0.002254564115954451
2020-06-01,0.0045646117846416335
2020-06-02,0.003739013009579956
2020-06-03,0.0021327273596528774
2020-06-04,0.002720198213087649
2020-06-05,0.002211451307669957
2020-06-08,0.005295372288618974
2020-06-09,0.0032497770625109956
2020-06-10,0.006518903513254587
2020-06-11,0.00495391539885372
2020-06-12,0.0047387127943456795
2020-06-15,0.0046791501735019125
2020-06-16,0.0036858099349190735
2020-06-17,0.002279392523698661
2020-06-18,0.003812401813839443
2020-06-19,0.0014923890972178987
2020-06-22,0.0015598703669969715
2020-06-23,0.0014154833847721475
2020-06-24,0.003986429570291185
2020-06-25,0.0030584542968229906
2020-06-26,0.0026443212939018363
2020-06-29,0.002519904132012658
2020-06-30,0.003192479180123732
2020-07-01,0.003535318747891628
2020-07-02,0.01110479792511288
2020-07-06,0.007555769903010057
2020-07-07,0.008489615731817259
2020-07-08,0.005092346031745925
2020-07-09,0.004846857506293344
2020-07-10,0.004274836516944852
2020-07-13,0.01564398464169644
2020-07-14,0.00960978699692583
2020-07-15,0.004897479879117223
2020-07-16,0.005916334382957762
2020-07-17,0.0027973105653497916
2020-07-20,0.005246390949340913
2020-07-21,0.00540583530521673
2020-07-22,0.0051526019705454
2020-07-23,0.0072750571453090995
2020-07-24,0.009531127116194943
2020-07-27,0.004203432446522684
2020-07-28,0.0054031916862759466
2020-07-29,0.004055693616626954
2020-07-30,0.002592379056480438
2020-07-31,0.0034771606722572334
2020-08-03,0.0037660277449961693
2020-08-04,0.0036355317230804653
2020-08-05,0.001974750036065746
2020-08-06,0.00200349932539763
2020-08-07,0.0030855166711983655
2020-08-10,0.0035924557817419767
2020-08-11,0.005145674436497901
2020-08-12,0.007051383824535975
2020-08-13,0.005584572016321668
2020-08-14,0.003145356800193511
2020-08-17,0.004899455615679724
2020-08-18,0.005757263759923785
2020-08-19,0.003075947469997951
2020-08-20,0.00333246458929262
2020-08-21,0.004802409819129392
2020-08-24,0.0097118291643595
2020-08-25,0.002893998854665079
2020-08-26,0.0042755936545032
2020-08-27,0.005842918767930652
2020-08-28,0.005034191015453444
2020-08-31,0.006273125078339151
2020-09-01,0.007690332622104347
2020-09-02,0.011034410069006741
2020-09-03,0.011882036892918292
2020-09-04,0.011350263872418545
2020-09-08,0.019300256928751244
2020-09-09,0.01019916631086207
2020-09-10,0.009506727319634775
2020-09-11,0.005796378797095102
